total,inter,intra,torsions,intra best pose
-5.204,-9.919,-0.16,4.715,-0.16
-4.969,-9.16,-0.472,4.503,-0.16
-4.869,-8.68,-0.76,4.412,-0.16
-4.857,-8.707,-0.712,4.401,-0.16
-4.789,-8.863,-0.426,4.34,-0.16
