total,inter,intra,torsions,intra best pose
-4.761,-9.076,-1.644,4.314,-1.644
-4.723,-8.398,-2.248,4.279,-1.644
-4.547,-8.892,-1.419,4.12,-1.644
-4.127,-9.272,-0.239,3.74,-1.644
-4.123,-7.874,-1.628,3.736,-1.644
